3317	199.44	516.95
5463	23.793	635.13
3727	205.11	627.28
6557	30.716	734.15
5043	215.86	745.58
1439	33.753	832.35
1463	215.42	843.08
1495	215.36	954.89
2875	39.606	964
5549	40.971	1043
3769	418.12	1082.5
3945	221.69	1074.6
1935	43.897	1125.1
3545	225.39	1176.7
6827	41.656	1179.3
3513	232.03	1279.2
1275	55.73	1341.5
3755	229.39	1383.9
5077	383.43	1477.9
3307	419.98	1487.8
2795	464.12	1499.5
1755	566.79	1519.4
3443	511.11	1514.2
2747	207.64	1455.3
3421	248.78	1467.3
6581	323.76	1485.9
4911	169.49	1453.1
2923	83.062	1434.9
1779	125.89	1445.9
4845	287.33	1482.6
2797	180.18	1524.2
3789	49.119	1500.9
2989	109.05	1520.5
5339	308.18	1569.6
2781	239.54	1616.2
3029	50.003	1594.1
1723	230.44	1709
1501	50.38	1685.7
1659	240.49	1813.5
1997	242.13	1916.8
3247	74.03	1981.8
3915	451.93	2008.7
4943	64.389	1884.8
5811	451.83	1895.4
1719	475.1	302.43
3499	311.84	404.34
3643	238.64	420.85
4791	175.94	429.85
5295	543.65	300.59
5787	396.98	313.3
1525	609.54	296.51
1743	833.24	276.79
3917	773.73	266.22
5035	713.17	272.53
5307	1025.5	254.55
5739	931.17	271.32
1949	697.23	1545.3
2997	768.06	1564
3675	836.19	1570.8
5941	626.04	1536.6
1517	931.57	1593.3
4783	1015.4	1610
1247	1074.2	1623
1455	1276.3	1663.2
1469	1859.5	1832.8
2019	1632.5	1772.1
2519	1772.9	177.59
2719	1575.2	246.65
2933	1468.8	235.85
2937	1956.2	1848.8
3541	1913.1	170.03
3705	1683.5	190.79
5309	1743.8	1797.2
5351	1528.4	1756
5587	1413.3	1738.8
5789	2012.2	163.31
1487	2299.5	1919.9
2553	2106	146.17
3197	2297.3	120.62
5741	2149.4	1892.7
5749	2194.2	155.48
6555	2049.2	1866.8
