3675	37.126	643.78
1517	105.14	663.96
4783	164.44	678.8
1247	206.03	690.42
1455	348.13	726.05
1469	766.24	877.13
2019	609.49	823.75
2937	832.39	890.94
5309	686.27	845.8
5351	537.87	809.84
5587	458.5	794.9
1487	1066.2	951.98
1499	1496.8	383.39
1773	1481.8	721.54
2427	1477	845.94
3739	1243	1006
3897	1480.7	964.17
3943	1488.9	596.9
5467	1500.9	119.51
5741	964.47	928.92
5837	1494.4	497.46
5845	1499.9	245.04
6555	896.01	906.46
1403	1490.3	1336.5
1647	2280.5	175.79
1695	2068.6	353.35
1847	1893.5	1395.1
1851	1781.8	1539.2
1871	2339	1946.3
2525	1675.2	1546.9
2775	1909.2	1934
2779	2328.8	382.13
2805	2047.2	1159.1
2903	2214.6	722.53
2959	2272.4	1746.9
2967	1886.2	1612
2983	1474.6	1210.8
3015	2121.9	226.43
3067	2019.3	1625.2
3183	2178.1	1275.4
3303	1930.9	1748
3389	2040.4	1338.2
3435	1584.5	1301.8
3449	1491.6	1585.8
3479	2156.8	2014
3495	1809.6	1373.5
3527	2312.8	1520.5
3559	2066.4	956.23
3741	1694	1648.7
3991	2189.9	976.95
4005	1485.1	1459.8
4007	2018.1	1926
4071	1822.4	1717.8
5423	2038.9	1433.3
6567	1579.8	1575
6763	2198.2	1488
6869	1722.2	1332
10923	2175.9	1128.5
2511	1518.5	1716.1
3677	1659.4	1799.1
2909	1473.3	1930
2973	1793.3	1922.8
3485	1542.3	2008.3
5015	1718.4	2004.7
5455	1490.5	1809
5543	1612.4	1911.9
5843	1545.6	1907.5
3415	2098.8	778.38
3415	2203.7	853.48
3387	1477.3	1082.8
