9689	2.515237e-01	6.472364e-01	2.254991e-02	2.818739e-02	1.476565e-01	1.394350e-01	5.718991e-01	9.571230e-01
14701	7.977348e-01	9.251754e-02	2.455879e-02	3.069849e-02	1.608106e-01	1.062701e-01	7.403055e-03	7.868336e-01
29705	7.094005e-01	8.434512e-01	7.617825e-02	9.522282e-02	4.988140e-01	3.411169e-01	9.211973e-01	7.498909e-01
11629	3.244214e-01	3.688047e-01	5.356354e-02	6.695443e-02	3.507333e-01	3.056237e-01	2.110134e-01	5.265747e-01
28688	7.201174e-01	5.043161e-01	2.291817e-02	2.864771e-02	1.500678e-01	7.382505e-02	7.755718e-01	4.873646e-01
4499	2.920193e-01	8.924626e-01	4.681182e-02	5.851477e-02	3.065231e-01	2.850069e-01	6.259051e-03	2.135585e-01
16894	9.492783e-01	9.445326e-01	4.450449e-02	5.563062e-02	2.914147e-01	2.325487e-01	2.832695e-01	2.062444e-01
16872	5.968421e-01	4.256894e-02	2.652956e-02	3.316194e-02	1.737151e-01	1.497500e-01	2.705382e-01	7.570430e-01
14875	2.483668e-01	3.397092e-01	5.387004e-02	6.733755e-02	3.527402e-01	2.892225e-01	1.306974e-01	5.280035e-01
11690	2.446921e-01	4.962180e-01	2.070976e-02	2.588720e-02	1.356072e-01	1.167055e-01	3.353230e-02	6.853220e-01
31341	3.634452e-01	6.405863e-01	5.014973e-02	6.268716e-02	3.283796e-01	2.956921e-01	5.656264e-01	7.169331e-01
7258	4.899519e-01	9.259331e-01	2.184676e-02	2.730846e-02	1.430523e-01	4.058608e-02	5.527601e-01	3.830672e-01
16497	5.955840e-01	6.586908e-01	4.463426e-02	5.579282e-02	2.922644e-01	2.882373e-01	7.472432e-02	5.315398e-01
30968	4.476121e-01	2.811782e-01	3.511582e-02	4.389477e-02	2.299378e-01	2.232383e-01	2.126280e-02	1.058194e-01
31403	8.125929e-01	8.581350e-01	2.760053e-02	3.450066e-02	1.807279e-01	1.717529e-01	2.498034e-01	1.201601e-01
18436	3.212147e-01	2.650085e-01	2.468666e-02	3.085833e-02	1.616479e-01	1.355026e-01	4.523238e-01	4.569178e-01
10423	7.598478e-01	7.590055e-01	7.378590e-02	9.223237e-02	4.831489e-01	3.181921e-01	4.055976e-01	6.853748e-02
29558	2.664480e-01	4.809588e-01	2.771464e-02	3.464330e-02	1.814750e-01	6.195055e-02	3.276053e-01	2.274244e-01
16478	8.570086e-01	7.149018e-01	3.457363e-02	4.321704e-02	2.263876e-01	2.094144e-01	8.414581e-01	7.007543e-02
18838	9.418792e-01	7.261936e-01	2.384638e-02	2.980797e-02	1.561457e-01	1.545874e-01	8.277136e-01	7.616718e-01
12236	9.438020e-02	6.054175e-01	2.261381e-02	2.826726e-02	1.480749e-01	1.090883e-01	7.235534e-01	7.020052e-02
2760	8.205315e-01	3.012396e-01	2.499167e-02	3.123958e-02	1.636450e-01	1.504105e-01	8.745328e-01	1.292360e-01
24387	2.441731e-01	8.773253e-01	2.355300e-02	2.944124e-02	1.542246e-01	1.536047e-01	4.981105e-01	2.621638e-01
3811	7.954640e-01	5.052029e-01	7.049268e-02	8.811585e-02	4.615850e-01	4.493606e-01	6.600222e-01	1.858579e-01
21071	5.046204e-01	2.723374e-01	5.289499e-02	6.611874e-02	3.463556e-01	1.650163e-01	6.321135e-01	8.702479e-01
26236	8.836937e-01	5.663831e-01	2.320588e-02	2.900735e-02	1.519518e-01	7.890842e-02	8.348309e-02	6.703260e-01
6640	9.469614e-01	4.077971e-01	4.442267e-02	5.552834e-02	2.908790e-01	2.306235e-01	6.307654e-01	7.354602e-01
31743	2.652275e-01	7.304746e-01	4.061770e-02	5.077213e-02	2.659641e-01	1.163071e-01	4.597225e-01	8.766149e-01
